ACCESSION_NUMBER	CIK	REGISTRANT_NAME	FILE_NUM	LEI	ADDRESS1	ADDRESS2	CITY	STATE	COUNTRY	ZIP	PHONE
0001752724-24-273887	0001537140	NORTHERN LIGHTS FUND TRUST III	811-22655	549300PPUECJSQFBYV98	225 PICTORIA DRIVE	SUITE 450	CINCINNATI	US-OH	US	45246	631-470-2600
0001752724-24-273811	0000745463	EATON VANCE MUTUAL FUNDS TRUST	811-04015	549300C67AFHZKODE756	One Post Office Square		Boston	US-MA	US	02109	617-482-8260
0001752724-24-273925	0001944664	Nomura Alternative Income Fund	811-23826	549300A59FYTUHL9TJ86	Worldwide Plaza	309 West 49th Street 	New York	US-NY	US	10019	212-667-9000
0001145549-24-075844	0001587982	INVESTMENT MANAGERS SERIES TRUST II	811-22894	549300NRIBSC1UHX5D84	235 WEST GALENA STREET		MILWAUKEE 	US-WI	US	532123948	4142992000
0001752724-24-273892	0000941568	CREDIT SUISSE TRUST	811-07261	549300NNW5TC7U41BU59	ELEVEN MADISON AVENUE		NEW YORK	US-NY	US	10010	212-325-2000
0001752724-24-273923	0001689873	GraniteShares ETF Trust	811-23214	549300ODHHSS5JB0RB94	222 Broadway 21st Floor		NEW YORK	US-NY	US	10038	16468765143
0001752724-24-273911	0001689873	GraniteShares ETF Trust	811-23214	549300ODHHSS5JB0RB94	222 Broadway 21st Floor		NEW YORK	US-NY	US	10038	16468765143
0001145549-24-075854	0001587982	INVESTMENT MANAGERS SERIES TRUST II	811-22894	549300NRIBSC1UHX5D84	235 WEST GALENA STREET		MILWAUKEE 	US-WI	US	532123948	4142992000
0001752724-24-273947	0001558107	ALPS SERIES TRUST	811-22747	5493000QN25IZZPUSL66	1290 BROADWAY SUITE 1000		DENVER	US-CO	US	80203	3036235277
0001752724-24-273924	0001689873	GraniteShares ETF Trust	811-23214	549300ODHHSS5JB0RB94	222 Broadway 21st Floor		NEW YORK	US-NY	US	10038	16468765143
0001752724-24-242833	0001414040	ALPS ETF TRUST	811-22175	549300VF1907NYC4WM31	1290 BROADWAY SUITE 1000		DENVER	US-CO	US	80203	3036232577
0001145549-24-072721	0001413032	Columbia Funds Variable Series Trust II	811-22127	54930017CSZ4UCL7G406	290 Congress Street		Boston	US-MA	US	02110	800-345-6611
0001752724-24-266331	0000798523	Franklin New York Tax-Free Trust	811-04787	549300C6JQBK6DUNFI48	One Franklin Parkway		San Mateo	US-CA	US	94403-1906	650-312-2000
0001145549-24-072707	0001413032	Columbia Funds Variable Series Trust II	811-22127	54930017CSZ4UCL7G406	290 Congress Street		Boston	US-MA	US	02110	800-345-6611
0001145549-24-072733	0001413032	Columbia Funds Variable Series Trust II	811-22127	54930017CSZ4UCL7G406	290 Congress Street		Boston	US-MA	US	02110	800-345-6611
0001145549-24-072695	0000773757	Columbia Funds Series Trust I	811-04367	549300W5GIE6ZOZOTD82	290 Congress Street		Boston	US-MA	US	02110	800-345-6611
0001145549-24-072741	0000099614	Tri-Continental Corporation	811-00266	6QVMFZKY1QSOOIHD7Y77	290 Congress Street		Boston	US-MA	US	02110	800-345-6611
0001145549-24-077556	0001830437	Perpetual Americas Funds Trust	811-23615	549300T1VINOEO8DGR87	1 Congress Street, Suite 3101		Boston	US-MA	US	02114	617-993-0716
0001752724-24-276506	0000217087	Guggenheim Variable Funds Trust	811-02753	549300QDJHZ1HF5UC735	702 King Farm Blvd., Suite 200		Rockville	US-MD	US	20850	301-296-5100
0001398344-24-022453	0000919160	GUINNESS ATKINSON FUNDS	811-08360 	54930097560RK2KMX577	251 South Lake Ave	SUITE 800	Pasadena	US-CA	US	91101	626-914-1041
0001145549-24-077547	0001830437	Perpetual Americas Funds Trust	811-23615	549300T1VINOEO8DGR87	1 Congress Street, Suite 3101		Boston	US-MA	US	02114	617-993-0716
0001752724-24-278244	0000835663	GLENMEDE FUND INC	811-05577	5493001S67XT5GRJDI11	One Congress Street	Suite 1	Boston	US-MA	US	02114	1-800-442-8299
0001752724-24-278250	0000835663	GLENMEDE FUND INC	811-05577	5493001S67XT5GRJDI11	One Congress Street	Suite 1	Boston	US-MA	US	02114	1-800-442-8299
0001752724-24-278253	0000835663	GLENMEDE FUND INC	811-05577	5493001S67XT5GRJDI11	One Congress Street	Suite 1	Boston	US-MA	US	02114	1-800-442-8299
0001752724-24-278257	0000835663	GLENMEDE FUND INC	811-05577	5493001S67XT5GRJDI11	One Congress Street	Suite 1	Boston	US-MA	US	02114	1-800-442-8299
0001752724-24-278512	0001396092	World Funds Trust	811-22172	5493007BOSPYEMKSSY03	8730 Stony Point Parkway	Suite 205	Richmond	US-VA	US	23235	800-673-0550
0001752724-24-279269	0001039803	ProFunds	811-08239	549300HM4OOUYSE5DP77	7272 Wisconsin Avenue	21st Floor	Bethesda	US-MD	US	20814	240-497-6400
0001752724-24-279272	0001039803	ProFunds	811-08239	549300HM4OOUYSE5DP77	7272 Wisconsin Avenue	21st Floor	Bethesda	US-MD	US	20814	240-497-6400
0001752724-24-279276	0001039803	ProFunds	811-08239	549300HM4OOUYSE5DP77	7272 Wisconsin Avenue	21st Floor	Bethesda	US-MD	US	20814	240-497-6400
0001752724-24-279275	0001039803	ProFunds	811-08239	549300HM4OOUYSE5DP77	7272 Wisconsin Avenue	21st Floor	Bethesda	US-MD	US	20814	240-497-6400
0001752724-24-279280	0001039803	ProFunds	811-08239	549300HM4OOUYSE5DP77	7272 Wisconsin Avenue	21st Floor	Bethesda	US-MD	US	20814	240-497-6400
0001752724-24-279284	0001039803	ProFunds	811-08239	549300HM4OOUYSE5DP77	7272 Wisconsin Avenue	21st Floor	Bethesda	US-MD	US	20814	240-497-6400
0001145549-24-075853	0001587982	INVESTMENT MANAGERS SERIES TRUST II	811-22894	549300NRIBSC1UHX5D84	235 WEST GALENA STREET		MILWAUKEE 	US-WI	US	532123948	4142992000
0001752724-24-273551	0001989393	Partners Group Next Generation Infrastructure LLC	811-23938	5493000MHFEBK9HFVF59	1114 AVENUE OF THE AMERICAS	37TH FLOOR	NEW YORK	US-NY	US	10036	212-908-2600
0001145549-24-075856	0001587982	INVESTMENT MANAGERS SERIES TRUST II	811-22894	549300NRIBSC1UHX5D84	235 WEST GALENA STREET		MILWAUKEE 	US-WI	US	532123948	4142992000
0001398344-24-022455	0000919160	GUINNESS ATKINSON FUNDS	811-08360 	54930097560RK2KMX577	251 South Lake Ave	SUITE 800	Pasadena	US-CA	US	91101	626-914-1041
0001752724-24-276437	0000899148	Rydex Series Funds	811-07584	5493004D62WV1EDNTU07	702 King Farm Blvd., Suite 200		Rockville	US-MD	US	20850	301-296-5100
0001752724-24-276952	0001877967	Fairway Private Equity & Venture Capital Opportunities Fund	811-23728	549300OSYVK3803USN73	One South Wacker Drive	Suite 1050	Chicago	US-IL	US	45246	872-250-1260
0001145549-24-077555	0001830437	Perpetual Americas Funds Trust	811-23615	549300T1VINOEO8DGR87	1 Congress Street, Suite 3101		Boston	US-MA	US	02114	617-993-0716
0001145549-24-077393	0001540305	ETF Series Solutions	811-22668	5493008BB0X0GYS3UI50	615 E Michigan Street		Milwaukee	US-WI	US	53202	414-516-1645
0001752724-24-276529	0001710680	Highland Opportunities and Income Fund	811-23268	254900CMUE9FRYL2UR80	200 CRESCENT COURT	SUITE 700	DALLAS	US-TX	US	75201	9726284100
0001752724-24-276856	0001925779	Flat Rock Enhanced Income Fund	811-23798	549300JNBO5GRN6P7491	680 S. Cache Street	Suite 100	Jackson	US-WY	US	83001	307-500-5200
0001752724-24-277402	0001396092	World Funds Trust	811-22172	5493007BOSPYEMKSSY03	8730 Stony Point Parkway	Suite 205	Richmond	US-VA	US	23235	800-673-0550
0001752724-24-276947	0001593547	ADVISORS' INNER CIRCLE III	811-22920	549300TG800HOPJVWT31	ONE FREEDOM VALLEY DRIVE		OAKS	US-PA	US	19456	8774463863
0001145549-24-077551	0001830437	Perpetual Americas Funds Trust	811-23615	549300T1VINOEO8DGR87	1 Congress Street, Suite 3101		Boston	US-MA	US	02114	617-993-0716
0001145549-24-077325	0001587982	INVESTMENT MANAGERS SERIES TRUST II	811-22894	549300NRIBSC1UHX5D84	235 WEST GALENA STREET		MILWAUKEE 	US-WI	US	532123948	4142992000
0001752724-24-276533	0000891079	NexPoint Funds II	811-07142	549300T75WFR889C2B67	200 CRESCENT COURT	SUITE 700	DALLAS	US-TX	US	75201	9726284100
0001752724-24-279271	0001039803	ProFunds	811-08239	549300HM4OOUYSE5DP77	7272 Wisconsin Avenue	21st Floor	Bethesda	US-MD	US	20814	240-497-6400
0001752724-24-279289	0001039803	ProFunds	811-08239	549300HM4OOUYSE5DP77	7272 Wisconsin Avenue	21st Floor	Bethesda	US-MD	US	20814	240-497-6400
0001752724-24-288062	0001493580	BNY Mellon ETF Trust	811-23477	549300E2C8EQYJ7B0H81	240 Greenwich Street		New York	US-NY	US	10286	212-922-6400
0001752724-24-288166	0001567569	First Trust Intermediate Duration Preferred & Income Fund	811-22795	549300EOWPOFA6ZHR675	120 East Liberty Drive, Suite 400		Wheaton	US-IL	US	60187	630-765-8000
0001752724-24-288169	0001559109	ETFis Series Trust I	811-22819	5493002CWTVLBPSYFT98	31 West 52nd Street	16th Floor	New York	US-NY	US	10019	347-903-7347
0001752724-24-288067	0001493580	BNY Mellon ETF Trust	811-23477	549300E2C8EQYJ7B0H81	240 Greenwich Street		New York	US-NY	US	10286	212-922-6400
0001752724-24-288170	0000895430	Voya Mutual Funds	811-07428	5493002558QOEAVY2M96	7337 East Doubletree Ranch Road	Suite 100	Scottsdale	US-AZ	US	85258	1-800-992-0180
0001752724-24-294541	0000811869	Thrivent Mutual Funds	811-05075	549300K3CUETFK7U3B57	901 Marquette Avenue	Suite 2500	Minneapolis	US-MN	US	55402-3211	612-844-5168
0001752724-24-294503	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001752724-24-294508	0001084380	TIAA-CREF Funds	811-09301	549300L8R42TEBN5NG46	730 Third Avenue		New York	US-NY	US	10017	800-842-2733
0001752724-24-294552	0001217286	JPMorgan Trust I	811-21295	549300DM5WZMCZZ70R78	277 Park Avenue		New York	US-NY	US	10172	800-480-4111
0001752724-24-294571	0001485894	J.P. Morgan Exchange-Traded Fund Trust	811-22903	5493001E1K1DVWDV2464	277 Park Avenue		New York	US-NY	US	10172	844-457-6383
0001752724-24-294566	0001217286	JPMorgan Trust I	811-21295	549300DM5WZMCZZ70R78	277 Park Avenue		New York	US-NY	US	10172	800-480-4111
0001752724-24-294558	0001217286	JPMorgan Trust I	811-21295	549300DM5WZMCZZ70R78	277 Park Avenue		New York	US-NY	US	10172	800-480-4111
0001752724-24-294564	0001217286	JPMorgan Trust I	811-21295	549300DM5WZMCZZ70R78	277 Park Avenue		New York	US-NY	US	10172	800-480-4111
0001752724-24-294641	0000890393	BlackRock MuniYield Michigan Quality Fund, Inc.	811-07080	J3H1DOS8Q2FL9RVLS329	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0001752724-24-294667	0001524513	iShares U.S. ETF Trust	811-22649	5493002YECWEEITPWL97	400 HOWARD STREET		SAN FRANCISCO	US-CA	US	94105	800-474-2737
0001752724-24-294674	0001524513	iShares U.S. ETF Trust	811-22649	5493002YECWEEITPWL97	400 HOWARD STREET		SAN FRANCISCO	US-CA	US	94105	800-474-2737
0001752724-24-294710	0000814507	BlackRock Equity Dividend Fund	811-05178	NYJHWN6MTILGQH13C139	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0001752724-24-294698	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001752724-24-294670	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001752724-24-294673	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001752724-24-294697	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001752724-24-294714	0001034665	BlackRock MuniHoldings Fund, Inc.	811-08081	MZBVMGS24JR92TGE6Z32	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0001752724-24-294704	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001752724-24-294719	0001761055	BlackRock ETF Trust	811-23402	5493007WBHAKV9JVS642	100 BELLEVUE PARKWAY		WILMINGTON	US-DE	US	19809	800-441-7762
0001752724-24-294720	0001804196	BlackRock ETF Trust II	811-23511	549300PLJCTZLQ2LE832	100 BELLEVUE PARKWAY		WILMINGTON	US-DE	US	19809	800-441-7762
0001752724-24-294725	0000844779	BlackRock Funds	811-05742	549300OZUEVJZHOBFP42	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0001145549-24-065348	0000789281	Federated Hermes Income Securities Trust	811-04577	254900ZSL64R3SX7WJ45	Federated Hermes Funds	4000 Ericsson Drive	Warrendale	US-PA	US	15086-7561	8003417400
0001752724-24-237843	0001688680	Brinker Capital Destinations Trust	811-23207	549300X40Y9W6WTS8B82	1055 Westlakes Drive, Suite 250	NULL	Berwyn	US-PA	US	19312	800-333-4573
0001752724-24-239316	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001752724-24-239337	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001752724-24-239383	0000765199	BlackRock California Municipal Series Trust	811-04264	5493003C56LLBKW8JY53	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0001752724-24-239351	0000930667	iShares, Inc.	811-09102	549300MGJZCNMJLBAJ67	400 HOWARD STREET		SAN FRANCISCO	US-CA	US	94105	800-474-2737
0001752724-24-239390	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001145549-24-065722	0001540305	ETF Series Solutions	811-22668	5493008BB0X0GYS3UI50	615 E Michigan Street		Milwaukee	US-WI	US	53202	414-516-1645
0001752724-24-240492	0001779306	AltShares Trust	811-23475	549300MJC5CESCLT8M40	41 Madison Avenue	42nd Floor	New York	US-NY	US	10010	855-955-1607
0000869392-24-002171	0001295293	Putnam Target Date Funds	811-21598	5493005X9RIMZKJNE675	100 FEDERAL STREET		BOSTON	US-MA	US	02110	1-800-225-1581
0000869392-24-002206	0001845809	Putnam ETF Trust	811-23643	549300EMFKH8ETCKNO35	100 FEDERAL STREET		BOSTON	US-MA	US	02110	1-800-225-1581
0001162044-24-001140	0001368578	MSS Series Trust	811-21927	5493008Y245E2ZHP5235	8000 Town Centre Drive	Suite 400	Broadview Heights	US-OH	US	44147	440-922-0066
0001752724-24-240568	0001378872	Invesco Exchange-Traded Fund Trust II	811-21977	O540V2L4S174Y60FMD36	3500 Lacey Road	Suite 700	Downers Grove	US-IL	US	60515	800-983-0903
0000869392-24-002172	0001295293	Putnam Target Date Funds	811-21598	5493005X9RIMZKJNE675	100 FEDERAL STREET		BOSTON	US-MA	US	02110	1-800-225-1581
0001752724-24-239330	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001752724-24-240603	0001657201	Invesco Exchange-Traded Self-Indexed Fund Trust	811-23304	549300U103VG1ABIOE62	3500 Lacey Road	Suite 700	Downers Grove	US-IL	US	60515	800-983-0903
0001752724-24-241138	0000908695	Victory Portfolios III	811-07852	549300WIDR2J6W1Y9S11	15935 La Cantera Pkwy Building Two		San Antonio	US-TX	US	78256	800-235-8396
0001752724-24-240944	0001485894	J.P. Morgan Exchange-Traded Fund Trust	811-22903	5493001E1K1DVWDV2464	277 Park Avenue		New York	US-NY	US	10172	844-457-6383
0001752724-24-241239	0001503123	DBX ETF Trust	811-22487	DNLQXYGHEZ10Q9SIK386	875 Third Avenue		New York	US-NY	US	10022-6225	212-454-4500
0001145549-24-066038	0000872825	American Century World Mutual Funds, Inc.	811-06247	54930063TT3C438V6Y16	4500 Main St		Kansas City	US-MO	US	64111	816-531-5575
0001145549-24-065991	0001710607	American Century ETF Trust	811-23305	5493006IKK34YJD98183	4500 Main St		Kansas City	US-MO	US	64111	816-531-5575
0001752724-24-256620	0001176343	Legg Mason Partners Variable Equity Trust	811-21128	549300W9EP2BXVLOGN89	620 Eighth Avenue	47thFloor	New York	US-NY	US	10018	1-877-721-1926
0001752724-24-256616	0001176343	Legg Mason Partners Variable Equity Trust	811-21128	549300W9EP2BXVLOGN89	620 Eighth Avenue	47thFloor	New York	US-NY	US	10018	1-877-721-1926
0001752724-24-256613	0000874835	Legg Mason Partners Variable Income Trust	811-06310	549300HMB5WZ1N3QY685	620 Eighth Avenue	47th Floor	New York	US-NY	US	10018	1-877-721-1926
0001752724-24-256623	0000089043	Sequoia Fund Inc	811-01976	54930012J5D0G125X006	45 Rockefeller Plaza	34th Floor	New York	US-NY	US	10111	800-686-6884
0001752724-24-260642	0000822977	GOLDMAN SACHS TRUST	811-05349	S2FHCT8U6D2VORP0J605	71  SOUTH WACKER DRIVE	C/O GOLDMAN SACHS & CO	CHICAGO	US-IL	US	60606	312-655-4400
0001145549-24-071245	0001959372	Aristotle Fund Series Trust	811-23850	549300FDPZVU0VTJQB52	11000 Santa Monica Blvd	Suite 1700	Los Angeles	US-CA	US	90025	3104784005
0001752724-24-260893	0000923184	Matthews International Funds	811-08510	5493007IYPQKGSDVTS49	Four Embarcadero Center	Suite 550	San Francisco	US-CA	US	94111	415-788-7553
0001752724-24-260906	0000923184	Matthews International Funds	811-08510	5493007IYPQKGSDVTS49	Four Embarcadero Center	Suite 550	San Francisco	US-CA	US	94111	415-788-7553
0001752724-24-260862	0001015965	Voya VARIABLE PORTFOLIOS INC	811-07651	549300RRSJVUNTELG112	7337 East Doubletree Ranch Road	Suite 100	Scottsdale	US-AZ	US	85258	1-800-992-0180
0001752724-24-260900	0000923184	Matthews International Funds	811-08510	5493007IYPQKGSDVTS49	Four Embarcadero Center	Suite 550	San Francisco	US-CA	US	94111	415-788-7553
0001752724-24-260956	0001364608	First Trust Exchange-Traded Fund II	811-21944	549300HY3NFBU00W8S30	120 East Liberty Drive	Suite 400	Wheaton	US-IL	US	60187	630-765-8000
0001752724-24-260924	0000923184	Matthews International Funds	811-08510	5493007IYPQKGSDVTS49	Four Embarcadero Center	Suite 550	San Francisco	US-CA	US	94111	415-788-7553
